Video ID,Title,Comment
iPa_ARf2KAU,TV for Dogs : Dog Relaxation TV &amp; Videos - Zebra Fun,Very good channel!
iPa_ARf2KAU,TV for Dogs : Dog Relaxation TV &amp; Videos - Zebra Fun,Cool vid!
iPa_ARf2KAU,TV for Dogs : Dog Relaxation TV &amp; Videos - Zebra Fun,Amazing clip!
iPa_ARf2KAU,TV for Dogs : Dog Relaxation TV &amp; Videos - Zebra Fun,"Nevermind calming the dog; it really calms me after a brutal night at work. I simply love these videos, thank you!"
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,Thank you so much for this class as the advice really helped me. Thanks!!!
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,I needed this video! Awesome job and thanks for sharing..
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,"I CANNOT draw eyes , so I just draw a red mark across the face and wrote supreme ✌🏻😗"
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,"You are so talented and it was not only incredibly helpful to see each stage of you painting the dog, but also highly amusing and relaxing - loved the banter with your husband! Thank you very much for sharing. Have made notes from this video to help me with my first dog portrait!"
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,Thank you so much for this video! I’m so inspired to paint my grand dog Tessa!
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,Thank you for helping me have a better idea on how to paint a dog. I have one to start!
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,Could you please do a tutorial of a boxer dog?
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,What kind of brush do you use for the whiskers?
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,Beautiful
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,"hi. oh wow!! thats looks great. ur talented. god bless. thank u for video. my cat had pass away and i would love u to paint a pic of my cat. it be the best gift for my daughter, for christmas.  i will keep in touch for more input. thanks. fm nyc. gn🌷🙏"
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,Can you draw one for me cause my daughter loves to paint.
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,Awesome subscribe to your channel
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,How do you paints not dry while on your palette?
DIm2Dvt5ky8,How to Paint a DOG 🎨 Acrylic Painting Tutorial LIVE! #yearofthedog,"I love how you show the photo and colours the same time, really helps a lot and I can lean step by step. Wonderful painting! Thank you."
